"submission #",keyphrase,confidence
2,"coffee rust",180
2,"coffee future",60
2,"future price",60
2,"coffee berry borer",47
2,"coffee supply chain",47
2,"script sci arttext",47
2,"coffea arabica",40
3,"digital library",80
3,"data infrastructure",70
3,"human centered community",63
3,"smart digital library",63
3,"smart infrastructure",60
3,"infrastructure data",50
3,"complex adaptive system",47
3,"intelligent infrastructure",40
4,"random forest",260
4,"machine learning",137
4,"deep learning",110
4,"deep learning model",110
4,"citation context",100
4,"scholarly big data",95
4,"cited article",80
4,"cue word",80
4,"fold cross",80
4,"extra tree classifier",79
4,"citing article",75
4,"citation classification",70
4,"computational linguistic",70
4,"learning model",70
4,"naive baye",70
4,"random forest classifier",63
4,"short term memory",63
4,"cited work",60
4,"cross validation",60
4,"decision tree",60
4,"neural network",60
4,"scientific article",60
4,"traditional machine learning model",60
4,"unimportant citation",60
4,"closest verb",50
4,"digital library",50
4,"impact factor",50
4,"scientific literature",50
4,"supervised classification",50
4,"supervised classification technique",47
5,"cloud service",717
5,"cloud computing",310
5,"cloud service provider",126
5,"library staff",100
5,"academic library",80
5,"deploying cloud service",79
5,"integrated library system",79
5,"maintaining cloud service",79
5,"next generation il",63
5,"library administrator",50
5,"patron data",50
5,"project management",50
5,"serving patron",50
5,"cloud based service",47
5,"implementing cloud service",47
5,"cloud provider",40
5,"data center",40
5,"data issue",40
5,"data loss",40
5,"data management",40
5,"inadequate physical security procedure",40
5,"international digital library perspective",40
6,"topic space",225
6,"topic space module",158
6,"digital library",110
6,"information science",70
6,"library collection",70
6,"library book stack",63
6,"location based recommendation",63
6,"jim hahn",50
6,"mobile app",50
6,"space recommendation model",47
6,"topic space recommendation",47
6,"book stack",40
6,"library barcode",40
6,"power law",40
6,"server log",40
6,"subject area",40
6,"subject recommendation",40
6,"topic area",40
7,"wikipedia article",280
7,"contextual vector",240
7,"query expansion",160
7,"serge eric tremblay",126
7,"news article",120
7,"social signature",120
7,"pseudo relevance feedback",110
7,"social medium",110
7,"discovering and archiving",95
7,"omar alonso",80
7,"similar hashtag",80
7,"social data",80
7,"social pseudo relevance feedback",80
7,"document link",76
7,"vasileio kandyla",70
7,"harvey weinstein scandal",63
7,"defect rate",60
7,"hashtag index",60
7,"relevance feedback",60
7,"social signal",60
7,"related hashtag",50
7,"automatic query expansion",47
7,"michigan recount jill",47
7,"real time information",47
7,"recount jill stein",47
7,"relevant document link",47
7,"sexual abuse allegation",47
7,"simhash based technique",47
7,"social anchor text",47
7,"social query expansion",47
8,"digital library",470
8,"cultural heritage digital library",200
8,"cultural heritage",130
8,"environmental scanning",120
8,"community member",80
8,"methodological framework",70
8,"inuvialuit settlement region",63
8,"inuvialuit cultural resource centre",60
8,"isr region",50
8,"research project",50
8,"cultural heritage information",47
8,"information system",40
8,"inuit community",40
9,"relevance feedback",110
9,"annotation propagation",100
9,"visual representation",70
9,"jean marc ogier",63
9,"adaptive document recognition system",60
9,"visual pattern",60
9,"zipf law",60
9,"historical document image",47
9,"historical document",45
9,"grey level",40
9,"historian scholar",40
9,"incremental learning",40
9,"irrelevant image",40
9,"lettrine image",40
9,"long term relevance feedback",40
9,"mickael coustaty",40
9,"user interaction",40
10,"street name",963
10,"temporal street",790
10,"temporal expression",390
10,"jannik str otgen",142
10,"date expression",120
10,"frequent date",120
10,"analyzing street name",110
10,"date mention",100
10,"important event",100
10,"harvesting and analyzing",95
10,"temporal tagging",90
10,"collective memory",80
10,"date reference",80
10,"explanation harvesting",80
10,"normalized value",80
10,"rosita andrade",80
10,"street element",80
10,"martin luther king",63
10,"natural language processing",63
10,"world wide web",63
10,"auto language",60
10,"data set",60
10,"jun jul aug sep",60
10,"potential explanation",60
10,"putting date",60
10,"context information",50
10,"large scale",50
10,"local semantic",50
10,"official language",50
10,"street referring",50
12,"n gram corpus",570
12,"word embedding model",459
12,"embedding model",440
12,"full text corpus",364
12,"minimum count parameter",348
12,"minimum count",320
12,"google n gram",253
12,"test set",242
12,"text corpus",233
12,"match count",170
12,"n gram data",158
12,"raw text",150
12,"count parameter",130
12,"full text",120
12,"rare simlex mturk man",120
12,"ws353 rare simlex mturk",120
12,"fragmented corpus",110
12,"google book dataset",110
12,"wikipedia corpus",110
12,"window size",110
12,"gram corpus",100
12,"training data",100
12,"word vector",100
12,"martin sch aler",95
12,"model google msr",95
12,"quality loss",90
12,"word embedding",90
12,"analogy test set",79
12,"window size parameter",79
12,"analogical reasoning",75
13,"data extraction",170
13,"web data extraction",158
13,"base model",140
13,"extraction task",122
13,"structural feature",110
13,"information extraction",103
13,"world wide web",95
13,"wrapper induction method",95
13,"web page",90
13,"name extraction",86
13,"base model feature",79
13,"conditional token probability",79
13,"domain agnostic method",63
13,"domain specific method",63
13,"information extraction task",63
13,"named entity recognition",63
13,"application domain",60
13,"common word",60
13,"researcher name",60
13,"tag transition",60
13,"dom tree",50
13,"next token",50
13,"textual feature",50
13,"conditional random field",47
13,"name extraction task",47
13,"non name token",47
13,"secondary estimate strategy",47
13,"statistical significant improvement",47
13,"token conditional probability",47
13,"dom element",40
15,"ontology fusion",180
15,"similarity calculation",73
15,"relationship adjustment",70
15,"binary similarity calculation",63
15,"semantic similarity calculation",63
15,"massive similarity calculation",47
15,"china normal university china",40
15,"lower recall",40
15,"node adjustment",40
15,"parent class",40
15,"semantic similarity",40
15,"suppose ontology",40
16,"author name disambiguation",237
16,"feature type",230
16,"author disambiguation",120
16,"effective unsupervised author disambiguation",120
16,"clustering process",110
16,"feature type weight",95
16,"feature type weighting",95
16,"prob variant",90
16,"max variant",80
16,"system clustering",70
16,"clustering size",65
16,"author mention",60
16,"digital library",60
16,"relative frequency",60
16,"evaluation measure",50
16,"information science",50
16,"name name",50
16,"quality limit",50
16,"trained weight",50
16,"alberto hf laender",47
16,"marco andre Goncalve",47
16,"neil r smalheiser",47
16,"texa anonymous author",47
16,"very good result",47
16,"agglomerative clustering",40
16,"anonymous author",40
16,"compare figure",40
16,"naive baye mixture model",40
16,"referenced author",40
16,"reuter essential science indicator",40
17,"conformance checker",650
17,"long term preservation",285
17,"memory institution",180
17,"digital preservation",170
17,"medium type",150
17,"domain expert",140
17,"ground truth",100
17,"compliant document",90
17,"file format",90
17,"term preservation",90
17,"texa usa",90
17,"evaluation framework",80
17,"focus group",80
17,"text conformance checker",79
17,"conformance checking",70
17,"technical expert",70
17,"user study",70
17,"multimedia document jcdl18",63
17,"text medium type",63
17,"video medium type",63
17,"digital library",60
17,"electronic document file format",60
17,"management electronic document file",60
17,"open source",60
17,"reference implementation",50
17,"source code",50
17,"ground truth creation",47
17,"image conformance checker",47
17,"tested conformance checker",47
17,"preforma project",40
18,"word sense",334
18,"novel sense",320
18,"time point",320
18,"sense cluster",256
18,"birth cluster",236
18,"random sample",210
18,"target word",155
18,"network property",150
18,"manual evaluation",140
18,"average path length",126
18,"sense change",125
18,"induced subgraph",120
18,"reliable novel word sense",120
18,"sense detection",116
18,"candidate birth word",110
18,"novel sense detection",110
18,"true positive",100
18,"technology related sense",95
18,"word sense disambiguation",95
18,"candidate word",90
18,"semantic change",90
18,"novel word sense",87
18,"complex network",80
18,"google book",80
18,"structural similarity",80
18,"fractional change",70
18,"network centric",70
18,"true birth",70
18,"n gram corpus",63
18,"word sense induction",63
20,"digital library",170
20,"knowledge discovery",100
21,"incoming citation",250
21,"boston scienti",220
21,"bristol myer",160
21,"start year",160
21,"next ve year",142
21,"di erent start year",120
21,"market value",120
21,"texa instrument",110
21,"patent citation",100
21,"patenting activity",100
21,"ibm patent",80
21,"microsoft patent",80
21,"temporal rank shi",79
21,"patent dataset",70
21,"temporal rank",70
21,"company name",60
21,"deep diving",60
21,"foundation year",60
21,"higher correlation",60
21,"rank list",60
21,"temporal bucket",60
21,"citation count",50
21,"correlation study",50
21,"correlation value",50
21,"largest component",50
21,"rank shift",50
21,"representative company",50
21,"co citation network",47
21,"company future revenue",47
21,"patent grant count",47
22,"online health rumor",412
22,"online health",307
22,"online rumor",250
22,"health rumor",220
22,"trusting belief",210
