"review #","field #",score
1,1,-3
1,2,5
1,3,no
2,1,-1
2,2,2
2,3,no
3,1,-1
3,2,3
3,3,no
4,1,0
4,2,4
4,3,no
5,1,2
5,2,4
5,3,no
6,1,1
6,2,4
6,3,no
7,1,1
7,2,4
7,3,no
8,1,-2
8,2,4
8,3,no
9,1,2
9,2,4
9,3,no
10,1,1
10,2,4
10,3,no
11,1,3
11,2,4
11,3,yes
12,1,3
12,2,4
12,3,yes
13,1,-1
13,2,5
13,3,no
14,1,-1
14,2,5
14,3,no
15,1,-3
15,2,5
15,3,no
16,1,-2
16,2,4
16,3,no
17,1,-1
17,2,4
17,3,no
18,1,2
18,2,4
18,3,no
19,1,2
19,2,4
19,3,no
20,1,0
20,2,3
20,3,no
21,1,0
21,2,3
21,3,no
22,1,2
22,2,3
22,3,no
23,1,1
23,2,3
23,3,no
24,1,2
24,2,4
24,3,no
25,1,2
25,2,3
25,3,no
26,1,-2
26,2,3
26,3,no
27,1,-1
27,2,3
27,3,no
28,1,2
28,2,4
28,3,no
29,1,1
29,2,4
29,3,no
30,1,0
30,2,3
30,3,no
31,1,1
31,2,2
31,3,no
32,1,0
32,2,2
32,3,no
33,1,-2
33,2,5
33,3,no
34,1,-1
34,2,4
34,3,no
35,1,1
35,2,4
35,3,no
36,1,1
36,2,4
36,3,no
37,1,-1
37,2,4
37,3,no
38,1,2
38,2,3
38,3,no
39,1,-1
39,2,4
39,3,no
40,1,1
40,2,4
40,3,no
41,1,1
41,2,4
41,3,no
42,1,-2
42,2,5
42,3,no
43,1,-2
43,2,3
43,3,no
44,1,2
44,2,5
44,3,no
45,1,2
45,2,5
45,3,no
46,1,0
46,2,5
46,3,no
47,1,2
47,2,4
47,3,yes
48,1,2
48,2,4
48,3,yes
49,1,-3
49,2,1
49,3,no
50,1,-2
50,2,4
50,3,no
51,1,2
51,2,4
51,3,no
52,1,-2
52,2,4
52,3,no
53,1,-1
53,2,3
53,3,no
54,1,0
54,2,3
54,3,no
55,1,-1
55,2,3
55,3,no
56,1,2
56,2,3
56,3,no
57,1,2
57,2,3
57,3,no
58,1,2
58,2,3
58,3,no
59,1,-2
59,2,3
59,3,no
60,1,-1
60,2,2
60,3,no
61,1,2
61,2,4
61,3,no
62,1,-1
62,2,4
62,3,no
63,1,2
63,2,5
63,3,no
64,1,2
64,2,3
64,3,no
65,1,-2
65,2,4
65,3,no
66,1,0
66,2,4
66,3,no
67,1,1
67,2,3
67,3,no
68,1,-1
68,2,4
69,1,-1
69,2,3
70,1,0
70,2,4
71,1,3
71,2,4
71,3,yes
72,1,2
72,2,4
72,3,no
73,1,-3
73,2,4
73,3,no
74,1,1
74,2,4
74,3,no
75,1,-3
75,2,5
75,3,no
76,1,-3
76,2,5
76,3,no
77,1,-3
77,2,3
77,3,no
78,1,1
78,2,3
78,3,no
79,1,1
79,2,3
79,3,no
80,1,-1
80,2,3
80,3,no
81,1,-2
81,2,4
81,3,no
82,1,-2
82,2,4
82,3,no
83,1,-2
83,2,2
83,3,no
84,1,-2
84,2,4
84,3,no
85,1,-2
85,2,4
85,3,no
86,1,-1
86,2,3
86,3,no
87,1,1
87,2,4
88,1,0
88,2,4
89,1,2
89,2,4
90,1,2
90,2,3
91,1,0
91,2,3
91,3,no
92,1,-1
92,2,4
92,3,no
93,1,-1
93,2,3
93,3,no
94,1,2
94,2,4
94,3,no
95,1,1
95,2,4
95,3,no
96,1,2
96,2,4
96,3,no
97,1,-2
97,2,4
97,3,no
98,1,2
98,2,3
98,3,no
99,1,3
99,2,3
99,3,yes
100,1,1
100,2,4
100,3,no
101,1,-1
101,2,4
101,3,no
102,1,0
102,2,4
102,3,no
103,1,0
103,2,4
103,3,no
104,1,0
104,2,4
104,3,no
105,1,-2
105,2,4
105,3,no
106,1,-1
106,2,4
106,3,no
107,1,1
107,2,4
107,3,no
108,1,2
108,2,3
108,3,no
109,1,1
109,2,3
109,3,no
110,1,2
110,2,4
110,3,no
111,1,2
111,2,4
111,3,no
112,1,-1
112,2,4
112,3,no
113,1,1
113,2,3
113,3,no
114,1,2
114,2,4
114,3,no
115,1,2
115,2,5
115,3,no
116,1,0
116,2,5
116,3,no
117,1,0
117,2,5
117,3,no
118,1,-1
118,2,4
118,3,no
119,1,-2
119,2,5
119,3,no
120,1,-1
120,2,4
120,3,no
121,1,-1
121,2,4
121,3,no
122,1,0
122,2,3
122,3,no
123,1,2
123,2,3
123,3,no
124,1,0
124,2,3
124,3,no
125,1,1
125,2,5
125,3,no
126,1,0
126,2,5
126,3,no
127,1,-2
127,2,4
127,3,no
128,1,-2
128,2,4
128,3,no
129,1,-2
129,2,5
129,3,no
130,1,0
130,2,4
130,3,no
131,1,-1
131,2,4
131,3,no
132,1,-3
132,2,4
132,3,no
133,1,-3
133,2,4
133,3,no
134,1,-3
134,2,4
134,3,no
135,1,-2
135,2,4
135,3,no
136,1,-2
136,2,4
136,3,no
137,1,0
137,2,3
137,3,no
138,1,1
138,2,3
138,3,no
139,1,-1
139,2,3
139,3,no
140,1,-3
140,2,4
140,3,no
141,1,-3
141,2,5
141,3,no
142,1,-1
142,2,5
142,3,no
143,1,-2
143,2,5
143,3,no
144,1,-2
144,2,5
144,3,no
145,1,0
145,2,5
145,3,no
146,1,1
146,2,2
146,3,no
147,1,1
147,2,3
147,3,no
148,1,2
148,2,3
148,3,no
149,1,1
149,2,4
149,3,no
150,1,1
150,2,4
150,3,no
151,1,1
151,2,4
151,3,no
152,1,1
152,2,3
152,3,no
153,1,0
153,2,5
153,3,no
154,1,1
154,2,5
154,3,no
155,1,3
155,2,4
155,3,yes
156,1,3
156,2,4
156,3,yes
157,1,3
157,2,4
157,3,no
158,1,0
158,2,4
158,3,no
159,1,3
159,2,4
159,3,no
160,1,1
160,2,4
160,3,no
161,1,1
161,2,5
161,3,no
162,1,-1
162,2,4
162,3,no
163,1,1
163,2,4
163,3,no
164,1,-1
164,2,4
164,3,no
165,1,-2
165,2,4
165,3,no
166,1,-2
166,2,2
166,3,no
167,1,-1
167,2,5
167,3,no
168,1,-2
168,2,4
168,3,no
169,1,0
169,2,3
169,3,no
170,1,3
170,2,4
170,3,no
171,1,1
171,2,4
171,3,no
172,1,-2
172,2,2
172,3,no
173,1,-1
173,2,2
173,3,no
174,1,0
174,2,3
174,3,no
175,1,0
175,2,2
175,3,no
176,1,1
176,2,4
176,3,no
177,1,1
177,2,5
177,3,no
178,1,-1
178,2,3
178,3,no
179,1,2
179,2,4
180,1,2
180,2,4
181,1,2
181,2,4
182,1,2
182,2,3
183,1,2
183,2,4
184,1,-2
184,2,4
184,3,no
185,1,-3
185,2,4
185,3,no
186,1,0
186,2,5
186,3,no
187,1,-3
187,2,5
187,3,no
188,1,-3
188,2,4
188,3,no
189,1,-3
189,2,4
189,3,no
190,1,-1
190,2,4
190,3,no
191,1,-2
191,2,4
191,3,no
192,1,2
192,2,3
192,3,no
193,1,1
193,2,3
193,3,no
194,1,-2
194,2,5
194,3,no
195,1,0
195,2,5
195,3,no
196,1,0
196,2,5
196,3,no
197,1,2
197,2,5
197,3,no
198,1,1
198,2,5
198,3,no
199,1,2
199,2,4
199,3,no
200,1,1
200,2,3
200,3,no
201,1,3
201,2,3
201,3,no
202,1,1
202,2,4
202,3,no
203,1,-2
203,2,4
203,3,no
204,1,-2
204,2,3
204,3,no
205,1,-2
205,2,4
205,3,no
206,1,2
206,2,4
206,3,no
207,1,1
207,2,3
207,3,no
208,1,1
208,2,3
208,3,no
209,1,-1
209,2,4
209,3,no
210,1,-1
210,2,4
210,3,no
211,1,-1
211,2,4
211,3,no
212,1,-1
212,2,4
212,3,no
213,1,1
213,2,4
213,3,no
214,1,-2
214,2,3
214,3,no
215,1,-3
215,2,4
215,3,no
216,1,-1
216,2,5
216,3,no
217,1,-1
217,2,5
217,3,no
218,1,-3
218,2,5
218,3,no
219,1,-3
219,2,5
219,3,no
220,1,-3
220,2,3
220,3,no
221,1,0
221,2,4
221,3,no
222,1,-2
222,2,4
222,3,no
223,1,-2
223,2,4
223,3,no
224,1,1
224,2,2
224,3,no
225,1,-1
225,2,4
225,3,no
226,1,1
226,2,3
226,3,no
227,1,1
227,2,3
227,3,no
228,1,-3
228,2,4
228,3,no
229,1,2
229,2,4
229,3,no
230,1,2
230,2,3
230,3,no
231,1,1
231,2,3
231,3,no
232,1,-1
232,2,4
232,3,no
233,1,0
233,2,5
233,3,no
234,1,0
234,2,4
234,3,no
235,1,3
235,2,5
235,3,no
236,1,2
236,2,3
236,3,no
237,1,1
237,2,3
237,3,no
238,1,1
238,2,3
238,3,no
239,1,1
239,2,4
239,3,no
240,1,1
240,2,4
240,3,no
241,1,1
241,2,4
241,3,no
242,1,1
242,2,3
242,3,no
243,1,1
243,2,3
243,3,no
244,1,2
244,2,4
244,3,no
245,1,-1
245,2,4
245,3,no
246,1,-2
246,2,4
246,3,no
247,1,-3
247,2,3
247,3,no
248,1,-2
248,2,5
248,3,no
249,1,1
249,2,3
249,3,no
250,1,-2
250,2,3
250,3,no
251,1,-1
251,2,3
251,3,no
252,1,-1
252,2,4
252,3,no
253,1,1
253,2,5
253,3,no
254,1,2
254,2,3
254,3,no
255,1,2
255,2,4
255,3,no
256,1,3
256,2,3
256,3,no
257,1,3
257,2,4
257,3,yes
258,1,2
258,2,4
258,3,no
259,1,3
259,2,3
259,3,yes
260,1,1
260,2,4
260,3,no
261,1,2
261,2,4
261,3,no
262,1,2
262,2,4
262,3,no
263,1,2
263,2,4
263,3,no
264,1,0
264,2,4
264,3,no
265,1,-1
265,2,4
265,3,no
266,1,-2
266,2,5
266,3,no
267,1,-1
267,2,3
267,3,no
268,1,0
268,2,2
268,3,no
269,1,-1
269,2,4
269,3,no
270,1,-2
270,2,4
270,3,no
271,1,-2
271,2,3
271,3,no
272,1,-2
272,2,3
272,3,no
273,1,-1
273,2,4
273,3,no
274,1,0
274,2,3
274,3,no
275,1,-1
275,2,3
275,3,no
276,1,2
276,2,4
276,3,no
277,1,1
277,2,4
277,3,no
278,1,0
278,2,4
278,3,no
279,1,1
279,2,4
279,3,no
280,1,1
280,2,4
280,3,no
281,1,-2
281,2,3
281,3,no
282,1,0
282,2,3
282,3,no
283,1,-2
283,2,4
283,3,no
284,1,-1
284,2,3
284,3,no
285,1,-1
285,2,4
285,3,no
286,1,-1
286,2,4
286,3,no
287,1,1
287,2,3
287,3,no
288,1,-2
288,2,3
288,3,no
289,1,-2
289,2,3
289,3,no
290,1,-3
290,2,3
290,3,no
291,1,1
291,2,5
291,3,no
292,1,-1
292,2,4
292,3,no
293,1,0
293,2,3
293,3,no
294,1,-3
294,2,5
294,3,no
295,1,0
295,2,5
295,3,no
296,1,-2
296,2,4
296,3,no
297,1,2
297,2,2
297,3,no
298,1,3
298,2,4
298,3,yes
299,1,3
299,2,4
299,3,yes
300,1,2
300,2,4
300,3,no
301,1,2
301,2,4
301,3,no
302,1,1
302,2,3
302,3,no
303,1,3
303,2,3
303,3,no
304,1,3
304,2,5
304,3,no
305,1,-3
305,2,4
305,3,no
306,1,-1
306,2,5
306,3,no
307,1,-1
307,2,5
307,3,no
308,1,-1
308,2,5
308,3,no
309,1,-1
309,2,5
309,3,no
310,1,2
310,2,4
310,3,no
311,1,2
311,2,4
311,3,no
312,1,2
312,2,3
312,3,no
313,1,1
313,2,3
313,3,no
314,1,0
314,2,4
314,3,no
315,1,1
315,2,4
315,3,no
316,1,-1
316,2,4
316,3,no
317,1,2
317,2,4
317,3,no
318,1,2
318,2,4
318,3,no
319,1,-1
319,2,3
319,3,no
320,1,-1
320,2,4
320,3,no
321,1,0
321,2,3
321,3,no
322,1,1
322,2,4
322,3,no
323,1,-1
323,2,4
323,3,no
324,1,-1
324,2,4
324,3,no
325,1,1
325,2,3
325,3,no
326,1,2
326,2,3
326,3,no
327,1,2
327,2,3
327,3,no
328,1,1
328,2,4
328,3,no
329,1,-1
329,2,4
329,3,no
330,1,-1
330,2,3
330,3,no
331,1,1
331,2,4
331,3,no
332,1,-3
332,2,5
332,3,no
333,1,-2
333,2,3
333,3,no
334,1,0
334,2,2
334,3,no
335,1,1
335,2,4
335,3,no
336,1,2
336,2,5
336,3,no
337,1,0
337,2,3
338,1,1
338,2,3
339,1,1
339,2,4
340,1,-1
340,2,3
340,3,no
341,1,0
341,2,3
341,3,no
342,1,3
342,2,5
342,3,yes
343,1,2
343,2,5
343,3,no
344,1,0
